,target_name,mass,radius,semi_major_axis,detection_type
450,K2-24 b,0.05978,0.482,0.154,Primary Transit
451,K2-24 c,0.04845,0.669,0.247,Primary Transit
452,K2-240 b,0.0157,0.178,0.0513,Primary Transit
453,K2-240 c,0.0145,0.161,0.1159,Primary Transit
454,K2-25 b,0.0771,0.306,,Primary Transit
455,K2-260 b,1.42,1.552,0.0404,Primary Transit
456,K2-261 b,0.223,0.85,0.102,Primary Transit
457,K2-263 b,0.0466,0.215,0.2573,Primary Transit
458,K2-265 b,0.02058,0.153,0.03376,Primary Transit
459,K2-266 b,0.0355,0.294,0.01306,Primary Transit
460,K2-266 c,0.00091,0.063,0.0679,Primary Transit
461,K2-266 d,0.028,0.261,0.1035,Primary Transit
462,K2-266 e,0.04499,0.244,0.1249,Primary Transit
463,K2-27 b,0.09722,0.4,0.06702,Primary Transit
464,K2-280 b,0.1167,0.684,0.1488,Primary Transit
465,K2-285 b,0.03046,0.231,0.03817,Primary Transit
466,K2-285 c,0.04933,0.315,0.0824,Primary Transit
467,K2-285 d,0.02045,0.221,0.1178,Primary Transit
